City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Dunedin,NZ,2021-12-22 01:44:41,-45.8742,170.5036,65.8,71,100,1.99
234,Mbekenyera,TZ,2021-12-22 01:44:41,-10.0,38.9833,67.73,97,7,2.24
235,Harer,ET,2021-12-22 01:44:41,9.3094,42.1258,57.78,62,37,7.85
236,Abu Samrah,SY,2021-12-22 01:44:42,35.3029,37.1841,46.58,92,48,5.1
237,Kendari,ID,2021-12-22 01:44:42,-3.945,122.4989,79.2,85,100,7.27
238,Aripuana,BR,2021-12-22 01:44:42,-9.1667,-60.6333,73.87,99,100,1.5
239,Srednekolymsk,RU,2021-12-22 01:44:43,67.45,153.6833,-36.38,99,34,5.53
240,Santander,ES,2021-12-22 01:41:16,43.4647,-3.8044,58.82,80,48,1.01
241,Sao Joao Da Barra,BR,2021-12-22 01:43:55,-21.6403,-41.0511,73.89,89,31,12.19
242,Lages,BR,2021-12-22 01:44:43,-27.8161,-50.3261,61.56,99,91,2.64
243,Ulladulla,AU,2021-12-22 01:44:43,-35.35,150.4667,88.77,66,65,9.84
244,Cranbrook,CA,2021-12-22 01:40:35,49.4999,-115.7688,16.84,85,75,0.0
245,Jiayuguan,CN,2021-12-22 01:44:44,39.8167,98.3,25.23,29,66,0.96
246,Oranjestad,AW,2021-12-22 01:42:00,12.524,-70.027,80.55,81,40,4.0
247,Merauke,ID,2021-12-22 01:44:44,-8.4667,140.3333,80.94,78,100,4.18
248,Soure,BR,2021-12-22 01:44:44,-0.7167,-48.5233,80.62,81,100,13.58
249,Murmashi,RU,2021-12-22 01:44:44,68.8154,32.8115,19.81,100,40,7.0
250,Ketchikan,US,2021-12-22 01:44:45,55.3422,-131.6461,34.27,93,90,20.71
251,Nuuk,GL,2021-12-22 01:44:45,64.1835,-51.7216,36.21,87,75,9.22
252,Chenghai,CN,2021-12-22 01:44:45,23.4632,116.768,62.51,100,90,2.24
253,Carahue,CL,2021-12-22 01:44:46,-38.7,-73.1667,59.2,96,33,3.31
254,Fougamou,GA,2021-12-22 01:44:46,-1.2154,10.5838,73.92,98,100,1.16
255,Port Hawkesbury,CA,2021-12-22 01:44:46,45.6169,-61.3485,35.82,76,1,7.0
256,Wanning,CN,2021-12-22 01:44:46,18.8003,110.3967,69.19,76,12,8.48
257,Roebourne,AU,2021-12-22 01:44:47,-20.7833,117.1333,101.46,24,1,1.99
258,Ancud,CL,2021-12-22 01:44:47,-41.8697,-73.8203,62.13,89,5,1.23
259,Sidhi,IN,2021-12-22 01:44:47,24.4167,81.8833,50.2,35,1,4.03
260,Tuatapere,NZ,2021-12-22 01:44:48,-46.1333,167.6833,63.82,77,80,8.52
261,Bubaque,GW,2021-12-22 01:44:48,11.2833,-15.8333,81.93,46,100,19.08
262,Olinda,BR,2021-12-22 01:44:48,-8.0089,-34.8553,82.13,74,40,6.91
263,Tamsweg,AT,2021-12-22 01:44:49,47.1281,13.811,16.02,87,31,2.93
264,Flin Flon,CA,2021-12-22 01:44:49,54.7682,-101.865,-0.53,98,100,2.64
265,Maniitsoq,GL,2021-12-22 01:44:49,65.4167,-52.9,35.69,72,100,11.56
266,Yomou,GN,2021-12-22 01:44:49,7.5603,-9.2653,65.59,43,24,0.98
267,East London,ZA,2021-12-22 01:41:58,-33.0153,27.9116,68.59,90,3,6.67
268,Mayo,US,2021-12-22 01:44:50,38.8876,-76.5119,41.16,84,90,1.01
269,Uige,AO,2021-12-22 01:44:50,-7.6087,15.0613,67.53,98,100,2.04
270,Road Town,VG,2021-12-22 01:40:22,18.4167,-64.6167,78.84,83,40,10.36
271,Pevek,RU,2021-12-22 01:44:50,69.7008,170.3133,-13.72,90,98,4.09
272,Brae,GB,2021-12-22 01:44:51,60.3964,-1.353,39.11,75,100,7.81
273,Catamarca,AR,2021-12-22 01:44:51,-28.4696,-65.7852,84.04,54,28,6.69
274,Bluff,NZ,2021-12-22 01:45:51,-46.6,168.3333,63.81,66,59,26.89
